Name,Message,Message type,VI SDK Server,VI SDK UUID
ecbrprq21,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprq23,Inconsistent Foldername! VMname = ecbrprq23 Foldername = poc_ecbrprq23,Foldername,172.20.1.174,172.20.1.174
ecbrprq24,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprq30,"On D:\ is 7% disk space available! The threshold value is 10%. Free MB = 160,199",Storage,172.20.1.174,172.20.1.174
ecbrprq30,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprq38,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprq38,Inconsistent Foldername! VMname = ecbrprq38 Foldername = POC_ECBRPRQ38_IDERA,Foldername,172.20.1.174,172.20.1.174
ecbrprq44,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprq45,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprq46,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprq46,VM has an active snapshot! RFC 2025-001384 - Remediación de Vulnerabilidades created on 2025/07/07 16:44:41,Snapshot,172.20.1.174,172.20.1.174
ecbrprq48,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprq49,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprq50,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprq52,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprq55,Inconsistent Foldername! VMname = ecbrprq55 Foldername = ecbrprtempbdd01,Foldername,172.20.1.174,172.20.1.174
ecbrprq55,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
